en	kana	kanji	空念	八雲	長万部	幌別	平取	貫気別	新冠	様似	帯広	釧路	美幌	旭川	名寄	宗谷	落帆	多蘭泊	真岡	白浦	ライチシカ	内路	沙流	千島	占守	幌筵	南千島	弥満別	白浜	新問	多来加	智来	鵜城	根室	千歳	屈斜路	近文	穂別	礼文	足寄	天塩	虻田	白老	富内	春採	十勝	鵡川	有珠	白糠	静内	日高	虹別	荻伏	浦河	斜里	阿寒	伏古	厚真	北見	網走	室蘭	白主	高島	広尾	相浜	芽室	塘路	布伏内	江部乙	萩野	白人	幌満	択捉	音更	高江	三石	藻琴	豊浦
earthworm	みみず	みみず		tonin		tunin,kutcaktonin,kutuntonin,tonin				tonin	imok		toymok,toimok,toyimok	imok	imok,,toymok	toymok	toykikiri,toytuninka,tuninka,turukikiri		toytunin	toykikiri,itoytuninka,toykikirisuma	tomataakikiri,siri(~u)pohciwmah,(-puhu(?))[老]		tunin							toyto(y)unin									tunin	toimok				toykikiri,toytuninka,tuninke			kenastunin			tonin																												
jellyfish	くらげ	海月		tonru,(赤くて大きい,食用)	tonru	atuyetor				humpeetor(-i)	ない		hunpeetor,humpeetor(-i)	ない		ない		rusutentay			ruhtenta,ruhtentuh,-pihi,[老],huretasunpe《大きな赤クラゲ》															humpeetor(-i)			tonru			tonru														humpeetor(-i)												humpeetor(-i)										
tree	き	木	cikuni	ni,cikuni,ni,,cikuni	cikuni	cikuni,ni,ni,,cikuni	cikuni,ni	cikuni	cikuni	ni	ni,ni	ni,ni(木)	ni,ni	ni,ni	ni,ni	ni,cikuni,ni	nii	nii	nii	nii	nii,nii	nii	cikuni,,ni		ni,(118,164),nii(木)									nikur《林原|[木の影]》,nitay《樹の茂生|[木原]》																																												
(standing),tree	たちき	立木		roski,ni,(~cikuni)		cikuni					ni		ni	(as),ni	ni	ni					hotari,nii		cikuni																																																							
wood	もくざい	木材		cikuni		ni,-ye					ni		ni	ni	ni	ni					cituye,nii		cikuni,,ni																																																							
grass	くさ	草		mun,mun,kina	mun	mun,mun,kina	mun	mun	mun	mun	mun,mun,kina,は《ガマ》	mun,mun(草、雑草)	mun,mun	mun,mun《使えない草,雑草》,kina《有用な草》	mun,mun,kina(食用)	mun,mun,humun,hukina	kina(食草?)	mun	mun	mun	mun,munhi,kina《食べられる草》	mun	mun,kina(主に食用・薬用)		mun(160)									oruske?《平地|[草木が真直ぐに立つ]》,munihorakcup《七月|[草が枯れて倒れる]》,munpe《露|[草の表面の水滴]》																																												
trunk	みき	幹		ni,tumam,ni,netopa		nitumam					(ni-)tumam		ni,netopa,ni,ikkew	nitumam	nitumam	ni,tumam					niisuh,-pihi		nitumam		niinotobo,(153)																																																					
bark	かわ	皮		nikap,nikap	cikunikap	cikunikap,nikap,nikap	nikap,niyarkap	()	cikunikap	kap	nikap,kap,kap,,nikap	nikap,at(木の皮の糸),tat(ガンビの皮(樺の皮))	nikap,nikap	nikap,nikap	yar,niyar,niyar	kap,nikap,nikap	niikah	niikap	niikah	niikah	niikah,niikah,-puhu	niikap	kap,,nikap																																																							
stem	くき	茎		munnit,-cihi,(mun-)tumam,,mun,ikkew		munnetopa					,,munnetopake,(?)		mun,ikkew	munnetopa,,ra(食用にする)	munnit	忘れた,,mun,netopa,でもよい					suh,-pihi		nit,-ci																																																							
sap	しる	汁	ohaw	pe,(-he),,mun,tope(草の),munpe(,)		pe,(-he)					pe,(-he)		pe	pehe	pe,munpe,niwakka	pe,humun,pe					kinawahka		pe,(-he),(一般),(ni-)tope(木の乳状の),munpe(草の),mun-tope(草の乳状の)																																																							
branch	えだ	枝		nitek,nicaycay《細い枝の先》		nitek					tek,nitek		nitek	niukopi《分かれた大枝》,nitek～ni,tekehe《小枝》	nitek,nica《枝の先》	ni,konta,-ha,ni,tek					niihomhi《大枝》,cayteh,-kihi《小枝》		nitek		niteki(153),hashiteki(157)																																																					
knot	ふし	節		nihom,nitokom《こぶ》		nihom					nihom《木のこぶ》		ni,tokom《木のこぶ》	nihom,nitomtom《木の小さいこぶ》	nihom,nitomtom《木のこぶ》	ni,hom					homousi(板等の)		nihom《木のこぶ》,nisikay(板の)						poni(節)																																																	
joint,[of,bamboo]	ふし	節		tophom,(竹の)		ik,(竹等の)					ik,(竹の)	sake(節(ふし))	top,ikra,(竹の)	top,ikihi,(竹の)		top,hom,(竹の)					tohisri,(竹の)		ik,(竹・葦等の)																																																							
knothole	ふしあな	節穴		honpuy							,nihom,oasin,wa,suy,o《木の節がぬけて穴があいた》		nipuy		nihonpuy	honpuy					honpuy		,nisikaye,turse《節穴があく》(turseは《落ちる》)																																																							
leaf	は	葉		ham,ham,niham(木の),munham(草の)	ham	ham,ham	ham	ham	ham	ham	ham,ham	ham	ham,ham	ham,niham《木についている葉》,komam《落ちた葉》,munham《草の葉》	ham,niham	ham,ham,ni,ham	yaɴ,-m	yam	yam	yam	yam,yamhu《濶葉》,huhteh,-kiki《針葉》	yam	ham,niham(木の),munham(草の),konam《落ちた葉》		yam(153),niyam(159),munebui,(草の葉166),yam(木の葉)									sunihorakcup/,sinihorakcup《八月|[木の葉が枯れて落ちる]》																																												
vine	つる	蔓		punkar		punkar					punkar	kutcini(コクワの木(蔓)),punkar(植物のつる),situkapni(ブドウの木(茎))	punkar	punkar	punkar	punkar					kinatesma,,樺太にブドウはない		punkar																																																							
thorn	とげ	棘		ay		ay							eenni	niay,,munnay,,hurep,ay	ay	ay					niiay		ay																																																							
root	ね	根		sinrit,sinrit,-ci,ni,sinrit《木の根》	sinrit	sinrit,sinrit,-ci	sinrit	sinrit	sinrit	sinrit	sinrit,sinrit,-ci	sinrit	sinrit,sinrit	sinrit,ni,sinrit	sinrit,sinrit,cinkew(地上に出ている)	sinrit,cinkew,cinkewhe,sinrit,-cihi	ciɴkew	cinkew,niisinrit	cinkew,niioosikehe	niicinkew	cinkew,(太い),sinris,(細い),(nii-)cinkew(太い),meciroh,-kihi《枝根》,sinris,-cihi(細かい)	cinkew	sinrit,-ci		ni,shin,rit,(152)																																																					
base,the,part,near,the,root	ねもと	根元		kursut,ous,(根元のまわりの地面)		ousi,-ke					kursut,ous《そば》		ous	nious,niouske(土についているところ)	ous,nious,munous	cinkewhe					niosuh,-tukehe(土に入った部分),niousi,-kehe(そのまわり)		kursut(木の最下部),ous〜-ke(まわりの地面)																																																							
sprout,bud	め	芽		epuy,niep(u,ù)y,munepuy		niepuy,munekipuy《草の芽》,ken《地面から出る芽》					ni,epuyke《木の芽》(葉になる),keni(まだ土の中にある)		ni,epuy《木の芽》(葉になる),keni(まだ土の中にある)	niepuy《木の花・芽》,munepuyke《草の花・芽》	kem(本来《針》),nikem(地面から出たもの)	ni,ham,ni,epuy					niitontomhi,(葉や枝になる),eruhpo,(地面から出る)		niya《木の芽》(葉になる),keni(地面から出る)																																																							
flower	はな	花		nonno	nonno	nonno	nonno	nonno	nonno	nonno	hana,epuy(つぼみ)	apappo,amappo(花),apappo(花)	epuyke,apappo	epuy,epuyke	epuy	hapappo	epuy(?)	ekipuy	epuy	ekipuy	epuy	munepuy(草の)																																																								
fruit,berry	み	実		niyepuy	nikaop[老]	nikaop(木の),epuyke	nikaop(木の),munepuy(草の)	nikaop(木の)	niepuy(木の),nikaop(ブドウ,コクワ)	niipe(木の),nikaop(木につもった雪)	nikaop(木の)	総称なし,nikaop(ブドウ),nikop(プトウ(の実)),numi(粒(つぶ)、実(み)、信心),o((実が)なる),pekanpe(ヒシの実)	epuyke	nikaop(木の)	niyepuy(木の)	niyepuy	tureh(草木の)	turep(草木の)	tureh(草木の)	tureh(草木の)	tureh(草木の)	turep(草木の)			gapnemnep《クラウドベリー》									inawri,nokaha?《如此星|[菱の実形]》																																												
ripe,to,grow,ripe	じゅくした	熟した		ci	ci	ci	ci	ci	ci	ci	ci	ci	ci	onne	ci	ci	cii	cii	cii	cii	cii	cii																																																								
cherry-tree	さくら	桜		karinpa(-ni)		karinpani					karinpani	karinpani(サクラ),karunpani(サクラ)	karinpani	karinpa,ni	karinpa,ni	karinpa,ni					cirani~ciranii,[丁]		karinpani																																																							
Ulmus,laciniata,Mayr	おひょうにれ	おひょうにれ		atni		atni					,atni,(?)	atni(オヒョウニレ)	atni	atni	atni	at,ni			ah,ahni	ah,ahni,opiw	ahni		atni,at,《オヒョウニレの皮》		hebīu,(157)																																																					
[Castanea,pubinervis,Schneid]	くり	栗		yamni,(木),yam,(実)	yam,yamni,yamsey	yamni,(木),yam,(実),rayta(いが),rayta,yam,yamni	yam,yamni				yamni,(木),yam,(実)		nisew(《ドングリ》と区別なし)	ない	yamni(木),yam(実)	ない					ない		yamni,(木),yam,(実),rayta(いが)		知らず(152)																																																					
walnut	くるみ	胡桃		nesko,(木),ninum,(実)	nesko	nesko,(木),ninum,(実),nesko					nesko,(木),ninum,(実)		mesko,(木),ninum,(実),mesko	nesko,(木),ninum,(実)	nesko,ni(木),nesko(実),ninum(実)	ninum					nomni(木),niinum~niinom(実)		nesko,(木),ninum,(実),nesko												nesko	mesko		nesko,ninumcikuni								nesko,ninumni		nesko																														
oak	かしわ	柏		tunni,nisew,(実.,peroni《楢》の実も同じ)		tunni(木),nisew(実),tuni,tunni					komni(木),nisew《ドングリ》	komni(カシワ(の木)),nisew(ドングリ(カシワの実))	sikomni(木),nisew《ドングリ》,komni(柏・楢・椎等ドングリの木の総称),komni,sikomni	komni《楢》,nisew《楢の実》	sikomni(木),nisew(実),komni,sikomni,sinisew	；kom,ni,《楢》,piro,ni,《》					kontoni,,tunni,[老]《方言：カシラギ》,niisew,(実)		tunni(木),komni(若木),nisew《ドングリ》,pero《楢》,tunni		aysni(オーク)										tunni	komni,ponperokomni,sikomni		tunni		komni,sikomni						komni	tunni	tunni																														
willow	やなぎ	柳		susu,(川原に生える小さい),cipsusu~cipni,《大葉柳》		susu					susu	inawni(ヤナギ),susu(ヤナギ),susunni(ヤナギ)	susu	susu,,inaw,ankanni《御幣を作る木》	susu	susu《カワヤナギ》,meromay,ni《方言：バッコヤナギ》					susu,meremay《方言：バッコヤナギ》		susu,(inaw《御幣》やikupasuy《ひげべら》はこれを削って作る)		shushu(152),shushu(松170)									susutay《柳原|[穴がある木原]》																																												
bamboo,grass	ささ	笹		top,huttat《竹・笹の葉》		uras,hutat					huttat	takusa(笹の束)	uras,ikitara《背の低い笹》,topuras《オニザサ》,aynetop《ネマガリザサ》	uras	uras	huras,ham					huru(細かい笹しかない)		huttat																																																							
bamboo	たけ	竹		top,,yayantop		top					top	top(竹)	top	top	top	top					toh,-pihi		top																																																							
reed	あし	蘆		supki,《ヤチガヤ,ヨシ》,kisar,《カヤ》,siki《野ガヤ》	supki	sarki					sarki	sar(ヨシ原),sarki(ヨシ・アシ)	sarki,sarki	sarki《ヨシ》	sarki	sarki《ヨシ》	saromah		suhki	suhki	suhki《ヨシ》		supki《ヨシ》,sarki,[稀・雅]《》,supki		rabinbi(169)										supki	sarki				sarki						sarki		supki																														
white,fir,[Abies,sachalinensis,Fr.,Schm.]	とどまつ	とど松		hup		hup					hup,(?)	hup(トドマツ),hupni(トドマツ)	hup	hup,《松》	hup	tontorop,《“とどの木”》				yayuh	yayuh,-pihi		hup		hup,(160)																														up																							
Silver,fir,[Picea,jezoensis,Carr.]	えぞまつ	蝦夷松		sunku		sunku					sunku,(?)		sunku,《方言：シンコマツ》	sunku	sunku	sunku,《“松の木”》			meciroh	meciroh	sunku		sunku		hup(170)																																																					
larch	からまつ	唐松		sunku,(トドマツ以外の松すべて)							ない		ない.,あとからはいった		ない	ない					kuy《方言：アカマツ,ラクヨウ》		ない																																																							
moss	こけ	苔		sinrus,(岩の上に生える),nirus,(木等に生える)		sinrus							nirus,(木に生えた),nihur(,),地面に生えた苔は.,使えないから,niur	sinrus,(岩の上の),nirus(古い木・くさった木に生える)	sinrus,nirus,nisinrus	忘れた			wakara		sinrushi		sinrus,(地上の),niur,(樹上の),nirek《サルオガセ》																																																							
bog,moss	みずごけ	水苔		toponra		toponra					toponra	topenra(水苔(ミズコケ))		topenra《石に生える水苔(N),ドロドロして長い沼の水苔(H)》						nupotoh			toponra							otohka																																																
mushroom	きのこ	茸		karus		karus					karus	karus(茸(きのこ))	karus	karus,(食用になるのは,cikisani,susu,nipes,komni,等の茸)	karus	karus					karushi		karus		cipo(キノコ)										pinnikarus	cikisanikarus											pinnikarus																															
duckweed	も	藻	tenmun										pettenra		toponra						teemunhi《方言：ノリ》																																																									
Aegagrophila,sauteri,Kaetz	まりも	毬藻		ない							ない	torasanpe(マリモ)	toːrasanpe<<湖の悪魔>>			忘れた					ない		ない																																																							
rice-plant	いね	稲		siyamam		siamam,tonoamam,war					amam		amam	siamam		ない					ない		siyamam																																																							
rice	こめ	米	amam	siyamam,,amam,,pine,amam,《玄米》,pirke,amam,《白米》		siyamam					amam,,siyamam	amam《米穀物ごはん》	amam	amam,,siamam,《玄米》,retar,amam《白米》	amam,,siamam,《玄米》,retar,amam《白米》	amam					amamhu		siyamam		amama,(153)																																																					
(rice-)bran	ぬか	糠		mur,amanmur		mur					mur		pana	amanmur	mur,amanmur						amanmuru,-hu〜-ihi,[丁]		mur																																																							
wheat,barley	むぎ	麦		munki		munki					muŋi,[日本語]		ない	ない	ない	ない					munki		munki		知らず,(153.,蝦夷語,menguro)																																																					
millet	あわ	粟	munciro	munciro		munciro,aynuamam,eparoamam,etuyamam,hepuramam,hureamam,kompukarusi,munciro,murikunne,pakkayamam,sirunamam	epetkemunciro,pusitannemunciro				toytaamam,,munciro,(皮が少し黒い)		toytaamam,siruamam	awa	toyta,amam	ない					mancuu,amamhu		munciro,aynuamam,munciro		知らず,(153.,蝦夷語,munjiro)																									minciro			minciro																									
Deccan,grass,barnyard,grass	ひえ	稗	piyapa	ayusamam		piyapa,aynuamam,kunnepiyapa,numasakpiyapa,numauspiyapa,piyapa,retarpiyapa	aynuamam,piyapa				ayusamam		piyapa	ない	toyta,amam	ない					ない,,mancuu,amamhu		piyapa,(いろいろ種類がある)																																																							
bean	まめ	豆		mame		mame					mame	eha(ツチマメ),numinokan(ツチマメ)	ない,mame,[日本語]	ない	ない	ない					mame		mame		xoma《エンドウ豆》,ipiki《エンドウ》,ipikici《エンドウ豆》																																																					
soy-bean	だいず	大豆		mame							tayzumame,[日本語]		ない	ない	ない	ない					tetara,mame		tohumame																																																							
red,bean	あずき	小豆		antuki		antuki					azuki,[日本語]		ない	ない	ない	ない					huure,mame		antuki																																																							
peanut	らっかせい	落花生		kantomame							kantomame,[日本語]		ない	ない	ない	ない					ない,kantomame,[新]		ない																																																							
potato,sweet,potato,taro	いも	芋		imo							imo	imo(イモ(芋)),potceimo(しばれイモ)	ない,toma,(野草の一種.,根を食べる)	toma,unintep,(両方とも山にある.,乾燥して冬の食料とする)	toma《早春に出る“ハナグサ”の根》	toma《“ツチコ”の根》					toma,(“カバフトイモ”.,1-2,cm)		emo,tomatoma,(野草の一種.,食べない),turep《ウバユリ》,eskerimrim《カタクリ》		turep,(姥百合,153),haru,(ウバ百合,171)																																																					
potato	じゃがいも	じゃが芋		imo		kosoymi,kosoymi					ない	imo《イモ(芋)》,potceimo《しばれイモ》	ない	ない	ない	ない					ない,,imo,[新]		emo																																																							
sweet,potato	さつまいも	さつま芋		sapporo,imo							ない	imo《イモ(芋)》	ない	ない	ない	ない					ない		ない																																																							
taro	さといも	里芋		homom,《山芋》,("日本人は「ホンド」という")							ない		ない	ない	ない	ない					ない		ない																																																							
maize,[U.S.]corn	とうもろこし	玉蜀黍		mamekimi		kimi					tokimi		ない	ない	ない	ない					ない,,tookipi,[新],,aynuimah,[老]		kimi																																																							
seaweed	のり	海苔	ohawkop	ohawkop《黒海苔》(汁の上にのせて食べる),pisepise《ギンナンソウ》(一種の海苔)							nori[日本語],kiparpar《ギンナンソウ》,niharukonpu《ツノガタ》,otopkonpu《マチボ》		ない	ない	ない	ない					uhturu(一種のノリ(?))		ない																																																							
sea-tangle,kelp	こんぶ	昆布		konpu		konpu					konpu	konpu(昆布),koyse(とろろ昆布)	parakonpu	ない	sas	sas					sashu,kamami《トロロコンブ》,rurukina《ダシコンブ》		konpu,,ritenkonpu《ワカメ》,ikkewunkonpu《すじのあるコンブやワカメ》		sasunu,(159),sas(昆布)																																																					
metal	かね	金属	kani	kani		kani					kani	kani(金属、金(きん))	kani	kani	kani	kani					kaani		kane																																																							
iron	てつ	鉄		sinokani,,sirar,kani		yayan,kane					teci,[日本語]		kani	yayan,kani	yayan,kani	忘れた,yayan,kani,は洋金(ヨウキン,品の悪い金)					kaani,,yayan,kaani		kane		kane(鉄)		kani(アイアン)																																																			
steel	こうてつ	鋼鉄		ituye,kani		kurunkani,,hankani					ない		ない		een,kani						yayan,kaani		ない				kani《アイアン》																																																			
copper	どう	銅	hurekani	hurekani		hurekani					hurekani		hurekani	hurekani	hurekani	hurekani《“あか”》					hurekaani,sakuntokaani,[老]		hurekane《“あかがね”》		hure,kane,(149),guri,kani(赤銅),kara,kani(緑色の銅)																																																					
silver	ぎん	銀		sirokani		sirokani					sirokani	sirokani(銀(ぎん))	sirokani	sirokani	sirokani	kin,,sirokani					sirokaani,,tetara,kaani		sirokane		gim,shirogane,serebrok,(149.,露西亜語)		situmpe(シルバー)																																																			
gold	きん	金		konkani		konkani					konkani	kani(金属、金(きん)),konkani(黄金(こがね)、金(きん))	konkani,,sikonkani	konkani	konkani	konkani					konkaani,,paase,kaani		konkane		kongane,(149),konkane(金)																																																					
rust	さび	錆		sikopop		sikopop,《錆びる》					sikopop,《錆びる》		sikopop,《錆びる》	sikopop	sikopop	si,,sikopopse《錆びる》					kaanisii,,siitatuh,-k《錆びる》		sikopop,《錆びる》																																																							
stone	いし	石	suma	suma,suma,watara,[古]	suma	suma,suma	suma	suma	suma	suma	suma,suma	suma,suma(石、石碑),uuysima(軽石、火山岩)	suma,suma	suma,suma	suma,suma	suma,suma	suma	suma	suma	suma	suma,suma	suma	suma,pit《敷物を編むのに使う石》		poina,(119,130,169.,shuma,は古歌に),poyn(石),poynnoy(石)									suma(石|[穴をあけられない]),poyna(石|[重く丸い])																																												
rock	いわ	岩		sirar		sirar					sirar	iwa《岩山、丘》	suma,sirar,[雅]	sirar	sirar	sirar					cispo（家くらいの大きな),sirara《岩磯》		sirar		pira,(130,162,崖165),puina,(169)									kutunne(岩山),watara(岩)																																												
pebble	こいし	小石		poysuma		poysuma,,nokan,suma,,pit					poysuma		poysuma	nokan,suma,,poysuma	poysuma,,nokan,suma	nokan,suma,《“こまい”石》					ponsuma		poysuma																																																							
gravel	じゃり	砂利		nokan,suma,,pinesuma		pikew					nokan,suma		otasuma	poysuma	nokan,suma,,poysuma	pikew					piikunhi		nokan,suma,《細かい石》																																																							
sand	すな	砂	ota	ota,ota	ota	ota,ota	ota	piyota	ota	hota	ota,ota	ota,ota(砂)	ota,ota	ota,ota	ota,ota	ota,ota	ota	ota	ota	ota	ota,ota	ota	ota,,piyota,《火山灰》		ota,(164)									ota(砂)																																												
earth,soil	つち	土		toytoy,toy	toytoy	toytoy,toy,,toytoy	toytoy	toytoy	toytoy	toytoy	toy,toy	toy,kapattoypo(薄い土),toy(土、地面)	toy,toy	toy,toy	toy,toy	toy,toy	toy	toy	toy	toy	toy,toy	toy	toytoy		toi(128,171),doiga《地》((M1892)),toy(地球)									toy(土)																																												
dust	ほこり	埃		mana,mana,toymana《砂ぼこり》,somana(家の中の),koponci《ごみ》	mana	mana,sirma,mana(窓の上の),sirma	pana	pana	pana	pana	koponci,pana,koponci,toypana《砂ぼこり》	toypana(土埃),unapana(灰埃)	pana,pana	pana,pana(外で立つ),koponci(家の中の.,panaより大きい)	pana,koponci,koponci(窓の上の),pas(黒い),retarpas(白い),pasina	pasna,pasna,(内の),toyupun,(外の),koponci《砂ぼこり》	koomuɴ	paspas	koomun	sirima	sirima,sirima,sirimasirima,(ごく細かい),toysirima,《砂ぼこり》	koomun	pana,toypana《砂ぼこり》,munpana(家の中の)		iramikoraka,(134)									pasna(炭(ホコリ)|[炭の粉]),pana(埃(ホコリ)|[細かく飛び集まる])																																												
mud	どろ	泥		yaci,,penetoy		peyne,toytoy,《水でとけた土》					toy		toy	penetoy	penetoy,,teynetoy	teyaka					peene,toy		yacine,uske,《ぬかるみ》		teini,toi(132),tur《ダート》									teynetoy(泥|[濡れた土])																																												
clay	ねんど	粘土		ritne,toy,nunpenetoy		nunpenetoy					ない		,petcaun,toy(川原の粘土.,使いみちがない)	nunpene,toy	ない	ない					siitoy		ritentoy		reta-tuy(粘土)																																																					
earthquake	じしん	地震		sirsimoye		sirsimoye					sirsum		sissimoye	sissimoye,sissisuye,toy,si-rutu,《地すべり》	sissimoye	sicimoe					sissimoye		sirsimoye		shiri,shumii,(130),shirusumui(地震)((M1892)),sirsimuj(地震)									sirsumuy?(地震|[地が動く])																																												
mountain	やま	山		nupuri	nupuri	nupuri	nupuri	nupuri	nupuri	nupuri	nupuri	nupuri,kim(山、山の方),nupuri(山、山容(山のかたち)),onnepira(はげ山、禿山),sir(地、山、鳥)	nupuri	nupuri	nupuri	nupuri	nupuri	nupuri	nupuri	nupuri	nupuru	nupuru			sutokoi(山),nupurenuhachiyachiyani(高山),mindaru(火山)((M1892)),hur(山)		nupuri(火山丘),hur(山)							epitnupuri?《はげ山|[焼けた山]》,okimunpe《山崩洪氷(水)|[山から生じた泉]》,kim,ta《山|[虫や獣がいるところ]》,kimor《山》,kimmacinukarkur?《宵の明星|[山の木原を目の当たりにする]》,kutunne《岩山》,sirkitay《峯|[地の峯]》,takkop/tapkop《森|[国の腫物]》,nupuri《岳|[稀に高い]》,peskanpe《丑|[山々に欠ける]》,rucis《峠|[高い背]》																																												
forest	もり	森		nitay,nitaytum		nitay,niusi					nitay	nitay(森、林)	nitay	nitay	nitay	ni,tay					huhkara,(常緑樹の多い),niitayusi,[老],(,)		nitay,sinitay,(大きい木ばかりの)		nitai(164)									takkop/tapkop(森|[国の腫物])																																												
woods	はやし	林		nikur,,kapar,nitay		nitay,,kenas《川沿いの木原》					nitay,,kenas《“木原”》	kenas(林),nitay(森、林)	nitay,,hupkar《“青木原”.,トドマツの生えている所》	(nup),nitay,,(kinup),huptay《雑木林》	yayannitay,《雑木林》	,kenas,は《沢》					kenastay,《雑木林》,citapuhkara,《森のはずれで林と草原と混ざっている所》		nitay,,hayastay(あまり大きくない木の),huptay《トドマツ林》,kenas《川端の,山のひっこんだ“木原”》		ninshi(131),ni,tai(木原161)									nikur《林原|[木の影]》																																												
field,of,reeds	よしはら	葦原		kinup,,kisarusnup,,sar		sar,,kisar					sar	sar(ヨシ原),sarki(ヨシ・アシ)	sar	sar,,sar,onne,us《湿地》	sar	sarke,toy,,sar,は《ヨシ》					suhkiusi,,suhki,は《ヨシ》		sar		saruka,(湿地,168)																																																					
cultivated,dry,field	はたけ	畑	toy	toy,toyor		toy					toy	kupita《畑作》	toy	toyor	ない	ない					ない		toy											toyta(畠|[土を打って拵(こしら)える])																																												
desert	さばく	砂漠		ない		ない					ない		ない		ない	ない					ない		ない																																																							
lake,pond	みずうみ	湖		to,to	to	to,to	to	to	to	to	to,to	to,to(湖、沼)	to,to	to,to	to,to	to,to《沼》(湖も池もない)	too	too	too	too	too,too,pontoo《池》	too	to,mesuyne,(~ememsuyne),uske《沢の水源の水たまり》		to,(沼,130,171),mem,(泉,沼,162),kapar,pen(沼の水),kaparpsoy(水たまり),opursi(沼地)		to(湖)							to(沼),totan?(近所|[沼が続く])																																												
spring	いずみ	泉		namwakka,oy,namwakka,sinpuy		mem					yanmakka		yanmakka	yanmakka,sinpuy,(掘ってわいてくる所,川っぷちに作る)	yanmakka	yanmakka《水源》,sunpuy《溜まった水》					yaypohte,wahka,yaypohte,nanpe		namwakka~nanmakka,sinpuy,は《井戸》		mem(泉,沼162)									pepop(水の湧|[水がわく])																																												
river	かわ	川	pet	pet,pet	pet	pet,pet	pet	pet	pet	pet	pet,pet	pet,nay(川、沢),pep(川),pet(川),sipet(大川、大きい川、本流)	pet,pet	pet,pet	pet,pet	pet,pet	nay	nay	nay	nay	nay,nay,peh《川》は神謡に出るだけ.,老人も使わない	nay	pet		pet,pet,pet,(122,129,158,165),pe,(165),petsute(川)((M1892))		pet(川)							pet(川|[水が集まり流れる])																																												
brook,stream	おがわ	小川		ponpet		pon,pet					ponpet	nay《川、沢》	ponpet	ponpet	ponpet	ponnay,pet					ponnay		ponpet																																																							
bubble,foam	あわ	泡		koysum		koysum					koysum		koysum	koysum,,wakka,koysum,,kuyuyse,《ブクブク出る》	koysum,,wakkakoysum	koysum					koysumhi(白い),,wahkarohpise,《あぶく》		koysum																																																							
waterfall	たき	滝		so		so,so,ratki,《滝が落ちる》					so,so,ratki,《滝が落ちる》		so,so,ranke,《滝が落ちる》	so,so,ratki,(〜ran),《滝が落ちる》	so	忘れた,carasse《滝が落ちてくる》					eso		so,so,ratki,(〜ran),《滝が落ちる》		chararushi,pet,(131),chàrushi,(170),ratkepet(滝),soratki(滝)									petso(滝|[水の床])																																												
sea	うみ	海	atuy	atuy	atuy	atuy	atuy	atuy	atuy	acuy	atuy	atuy,atuy(海)	atuy	atuy	atuy	atuy	atuy	atuy	atuy	atuy	atuy	atuy			atoika(海)((M1892)),atuyka(海)		atuy-ka(海)							atuy(海|[天の沼])																																												
inlet	いりえ	入江		moy		moy,tomari						moy(入江),tomari(湾、入江)	moy								otanikoro(砂浜の)		tomari																																																							
ice,drift	りゅうひょう	流氷		ap,mom,ap		apu					ない		sokki		apu	apu					apu<<一般に海の氷>>,poroapu<<海を一面におおう流氷>>		apu		Urup(氷流)																																																					
sky	そら	空		nis,niskotor	niskotor	nis,niskotor	nisor,niskotor	niskotor	niskotor	niskotor	niskotor,nisor,nis	niskotor,kanto(天),kantokorkamuy(天を領有する神、天の神),kantokotor(空),nispirka(空がきれいだ),sikanto(天空)	nis,nisor	nis,nisor,niskotor	nisor,niskotor	niskotor	niskuru	nisoro	nisoro	niskuru	niskuru	nisoro			nisoro(天),gando(空)((M1892)),kantusut(スカイライン),kanto(空),nesqor(空),nisoracewa(スカイライン),nisut(スカイライン)		kanto(空)							kanto(天|[其の上にまわる日]),nisor(天|[雲の上にある])																																												
sun	たいよう	太陽	cup	(tokap-)cup	(tokap-)cup	(tokap-)cup	(tokap-)cup	(tokap-)cup	(tokap-)cup	peker,cupkamuy	cup(-kamuy)	(sirpeker)cup,cupkamuy《太陽、月、日の神》	(sirpeket-)cup	(tokam)cup(-kamuy)	(tokam)cup(-kamuy)	sirpeker,cupkamuy	toonocuh	toono,tonpi	(toono)cuh	toonocuh	toonocuh	(toono)cup					cup(太陽)							cupray《交蝕|[太陽が死ぬ]》,riktoko,kamuy?《日輪|[高いところにいて日々照らす神]》																																												
The,sun,sets.	ひがしずむ	陽が沈む		cup,ahun		cup,ahun					cup,ahun	kunne,an(日が暮れる)	cup,awun	cup,ahun	cup,ahun	cup,ahun					cuh,ahun		cup,ahun																																																							
moon	つき	月		(kunne)cup	cup	(kunne-)cup	(kunne-)cup	(kunne-)cup	cup	(kunne)cupkamuy	(kunne)cup(-kamuy)	(kunne)cup(-kamuy),cup(月(天体の))	(kunne)cup(-kamuy)	(kunne)cup(-kamuy)	(kunne)cup(-kamuy)	kunne,cupkamuy	kuɴnecuh	(kunne)tonpi	kunne,cuh	cuh	cuh	(kunne)cup			sirkinucuppu(月)		sir-kunne,cup(月)							cukkamuy/,cup,kamuy《月|[汐に応じて満半月となる]》																																												
